name,ingredients,price
"Kurczak","grillowany kurczak na rucoli, pomarańcze, grillowana cebula, kukurydza, papryka, prażony słonecznik, oliwa z oliwek czosnkowa","18 zł"
"Parmeńska","szynka parmeńska podawana na sałacie lodowej z kozim serem, ananasem i świeżą bazylią, sos balsamiczny","16 zł"
"Grecka","sałata lodowa, pomidor, papryka, ogórek, cebula czerwona, ser feta, oliwki, sos vinegrette","14 zł"
"Suszone pomidory","rucola, szpinak, suszone pomidory, pomidory koktajlowe, parmezan, gruszka, prażony słonecznik, kiełki, sos balsamiczny, oliwa z oliwek","18 zł"
